kl,recons
2.4715170860290527,26350.30078125
0.9358630180358887,27016.572265625
0.818199634552002,27622.771484375
0.875517725944519,27403.69921875
1.095691204071045,27912.84375
1.2360312938690186,26014.375
1.919213891029358,26976.57421875
3.1140198707580566,27296.021484375
4.529139518737793,25303.908203125
8.148093223571777,27275.0
12.666216850280762,26950.9375
19.534257888793945,27744.53515625
24.422630310058594,24092.576171875
36.340843200683594,23530.5390625
56.27638626098633,23512.240234375
107.99137115478516,26231.396484375
121.49693298339844,22920.560546875
173.71458435058594,21262.146484375
202.06991577148438,19859.212890625
239.6810302734375,18931.560546875
226.7318115234375,18355.36328125
245.8563690185547,15220.775390625
262.3004455566406,13930.857421875
325.238037109375,11531.3828125
431.19403076171875,10441.3759765625
326.2120056152344,8684.564453125
303.3600769042969,8241.72265625
274.7007141113281,7705.34130859375
246.5032501220703,7793.14990234375
195.68600463867188,7101.0615234375
159.47401428222656,6519.2802734375
111.18330383300781,5806.806640625
90.6280288696289,6003.33935546875
81.17876434326172,6015.68603515625
75.6968994140625,5739.4697265625
78.59553527832031,5215.9873046875
76.86222076416016,5044.78759765625
72.59391784667969,4804.97705078125
73.42497253417969,4751.23486328125
62.67829513549805,4696.10302734375
55.5855827331543,4868.9716796875
42.400333404541016,4794.14013671875
37.136024475097656,5032.80419921875
34.26909637451172,4682.55908203125
36.52114486694336,4390.3916015625
39.79887771606445,4719.34619140625
40.773963928222656,4721.8994140625
39.8170051574707,4233.7275390625
35.73661422729492,4383.3427734375
33.21522903442383,4139.4052734375
29.413122177124023,4255.24609375
29.369298934936523,4422.9482421875
29.067617416381836,3867.893310546875
35.061180114746094,4360.4755859375
32.44407272338867,4506.87939453125
33.182159423828125,4063.822998046875
32.637550354003906,4617.39013671875
26.73122787475586,4367.5009765625
24.588275909423828,4136.83837890625
25.337270736694336,4189.86572265625
25.610610961914062,3929.642578125
25.88858985900879,3961.0
28.4559268951416,4140.34912109375
27.623037338256836,4323.68505859375
25.91132164001465,4040.578857421875
28.415332794189453,4064.30810546875
28.88690185546875,4050.35546875
26.886932373046875,4099.9091796875
25.724390029907227,3821.15673828125
24.276683807373047,3638.84033203125
26.436798095703125,3852.444580078125
28.07489585876465,4224.41650390625
25.697484970092773,4212.7392578125
24.462757110595703,4324.09326171875
25.698999404907227,4207.4501953125
25.312908172607422,3973.169189453125
25.321313858032227,3816.505859375
24.225351333618164,4052.91796875
24.229717254638672,4040.775390625
24.584543228149414,3719.296142578125
26.506175994873047,3772.973876953125
28.82845687866211,4442.9716796875
27.423965454101562,3844.163330078125
23.740550994873047,3963.76513671875
23.319721221923828,3662.114501953125
24.829498291015625,3929.324951171875
24.25402069091797,3857.61865234375
25.470182418823242,3799.271484375
27.53774070739746,4324.0263671875
26.330814361572266,3892.326171875
25.972118377685547,3865.21435546875
29.505977630615234,4217.8935546875
26.455059051513672,4002.81591796875
25.972732543945312,4123.68505859375
22.826828002929688,3674.01904296875
23.614971160888672,4489.041015625
23.591827392578125,3706.600341796875
24.119583129882812,3695.035888671875
25.695180892944336,4154.03515625
26.93438720703125,3987.53759765625
28.285303115844727,3959.61865234375
26.14236831665039,3930.299560546875
26.724132537841797,3821.45068359375
27.559972763061523,4087.080078125
25.562938690185547,3823.1953125
22.087169647216797,3603.15625
25.851627349853516,3817.879638671875
27.305490493774414,4103.9892578125
27.58323097229004,3904.246826171875
27.886699676513672,3976.96044921875
28.720165252685547,3746.750732421875
27.68601417541504,3757.826904296875
26.525955200195312,3753.84912109375
25.986724853515625,3936.86669921875
25.852025985717773,4164.21337890625
23.313623428344727,3721.729736328125
24.339214324951172,3714.12060546875
26.507781982421875,4134.0849609375
23.034709930419922,3464.987548828125
28.758615493774414,4061.031982421875
28.051000595092773,3842.09130859375
27.25713539123535,3910.28515625
23.66400146484375,3843.125
23.862247467041016,4026.46630859375
22.392444610595703,4200.5966796875
19.820457458496094,3569.460205078125
21.543750762939453,3897.591796875
23.105449676513672,4171.5625
22.712411880493164,3694.315185546875
24.149301528930664,3741.252685546875
23.635997772216797,3926.529296875
22.423799514770508,3821.31787109375
21.301530838012695,3956.54345703125
23.058361053466797,4258.0849609375
21.264806747436523,3927.225341796875
21.973663330078125,3731.43896484375
22.795331954956055,3853.557373046875
22.347484588623047,3822.034423828125
23.643558502197266,3826.817626953125
22.22364616394043,3854.881591796875
21.097225189208984,3696.848876953125
21.87821388244629,3985.684326171875
20.440311431884766,3825.327392578125
22.718618392944336,3690.755859375
25.786304473876953,4384.013671875
22.35993766784668,3851.986328125
20.702362060546875,3862.90869140625
18.733266830444336,4210.4921875
20.74590492248535,4214.84814453125
18.979421615600586,3698.743408203125
20.94597816467285,3827.973876953125
21.372583389282227,3602.469482421875
23.63837432861328,3790.76513671875
25.567249298095703,3970.86572265625
24.282611846923828,3891.94970703125
23.461383819580078,3822.516357421875
